"Date","Municipality","Trip Duration","Membership Type","No of Trips","Miles Travelled"
"1/1/2011","Washington, DC","<0.5 hr","24-hr Pass","2084","0"
"1/1/2011","Washington, DC","<0.5 hr","Annual","33072","38812"
"1/1/2011","Washington, DC","0.5 - 1 hr","24-hr Pass","441","0"
"1/1/2011","Washington, DC","0.5 - 1 hr","Annual","478","0"
"1/1/2011","Washington, DC","1 - 1.5 hr","24-hr Pass","193","0"
"1/1/2011","Washington, DC","1 - 1.5 hr","Annual","36","0"
"1/1/2011","Washington, DC","1.5 - 2 hr","24-hr Pass","162","0"
"1/1/2011","Washington, DC","1.5 - 2 hr","Annual","24","0"
"1/1/2011","Washington, DC","2 - 3 hr","24-hr Pass","76","0"
"1/1/2011","Washington, DC","2 - 3 hr","Annual","10","0"
"1/1/2011","Washington, DC","3 - 4 hr","24-hr Pass","19","0"
"1/1/2011","Washington, DC","3 - 4 hr","Annual","6","0"
"1/1/2011","Washington, DC","4 - 5 hr","24-hr Pass","11","0"
"1/1/2011","Washington, DC","4 - 5 hr","Annual","4","0"
"1/1/2011","Washington, DC","5 - 24 hr","24-hr Pass","18","0"
"1/1/2011","Washington, DC","5 - 24 hr","Annual","19","0"
"2/1/2011","Arlington, VA","<0.5 hr","24-hr Pass","75","0"
"2/1/2011","Arlington, VA","<0.5 hr","Annual","2237","1584"
"2/1/2011","Arlington, VA","0.5 - 1 hr","24-hr Pass","31","0"
"2/1/2011","Arlington, VA","0.5 - 1 hr","Annual","22","0"
"2/1/2011","Arlington, VA","1 - 1.5 hr","24-hr Pass","17","0"
"2/1/2011","Arlington, VA","1 - 1.5 hr","Annual","3","0"
"2/1/2011","Arlington, VA","1.5 - 2 hr","24-hr Pass","27","0"
"2/1/2011","Arlington, VA","1.5 - 2 hr","Annual","1","0"
"2/1/2011","Arlington, VA","2 - 3 hr","24-hr Pass","11","0"
"2/1/2011","Arlington, VA","2 - 3 hr","Annual","0","0"
"2/1/2011","Arlington, VA","3 - 4 hr","24-hr Pass","0","0"
"2/1/2011","Arlington, VA","3 - 4 hr","Annual","1","0"
"2/1/2011","Arlington, VA","4 - 5 hr","24-hr Pass","0","0"
"2/1/2011","Arlington, VA","4 - 5 hr","Annual","0","0"
"2/1/2011","Arlington, VA","5 - 24 hr","24-hr Pass","0","0"
"2/1/2011","Arlington, VA","5 - 24 hr","Annual","0","0"
"2/1/2011","Washington, DC","<0.5 hr","24-hr Pass","3715","0"
"2/1/2011","Washington, DC","<0.5 hr","Annual","38963","49261"
"2/1/2011","Washington, DC","0.5 - 1 hr","24-hr Pass","1006","0"
"2/1/2011","Washington, DC","0.5 - 1 hr","Annual","605","0"
"2/1/2011","Washington, DC","1 - 1.5 hr","24-hr Pass","585","0"
"2/1/2011","Washington, DC","1 - 1.5 hr","Annual","73","0"
"2/1/2011","Washington, DC","1.5 - 2 hr","24-hr Pass","356","0"
"2/1/2011","Washington, DC","1.5 - 2 hr","Annual","23","0"
"2/1/2011","Washington, DC","2 - 3 hr","24-hr Pass","283","0"
"2/1/2011","Washington, DC","2 - 3 hr","Annual","21","0"
"2/1/2011","Washington, DC","3 - 4 hr","24-hr Pass","78","0"
"2/1/2011","Washington, DC","3 - 4 hr","Annual","5","0"
"2/1/2011","Washington, DC","4 - 5 hr","24-hr Pass","20","0"
"2/1/2011","Washington, DC","4 - 5 hr","Annual","2","0"
"2/1/2011","Washington, DC","5 - 24 hr","24-hr Pass","38","0"
"2/1/2011","Washington, DC","5 - 24 hr","Annual","17","0"
"3/1/2011","Arlington, VA","<0.5 hr","24-hr Pass","204","0"
"3/1/2011","Arlington, VA","<0.5 hr","Annual","1806","2414"
"3/1/2011","Arlington, VA","0.5 - 1 hr","24-hr Pass","76","0"
"3/1/2011","Arlington, VA","0.5 - 1 hr","Annual","56","0"
"3/1/2011","Arlington, VA","1 - 1.5 hr","24-hr Pass","64","0"
"3/1/2011","Arlington, VA","1 - 1.5 hr","Annual","5","0"
"3/1/2011","Arlington, VA","1.5 - 2 hr","24-hr Pass","45","0"
"3/1/2011","Arlington, VA","1.5 - 2 hr","Annual","1","0"
"3/1/2011","Arlington, VA","2 - 3 hr","24-hr Pass","27","0"
"3/1/2011","Arlington, VA","2 - 3 hr","Annual","1","0"
"3/1/2011","Arlington, VA","3 - 4 hr","24-hr Pass","13","0"
"3/1/2011","Arlington, VA","3 - 4 hr","Annual","0","0"
"3/1/2011","Arlington, VA","4 - 5 hr","24-hr Pass","1","0"
"3/1/2011","Arlington, VA","4 - 5 hr","Annual","1","0"
"3/1/2011","Arlington, VA","5 - 24 hr","24-hr Pass","13","0"
"3/1/2011","Arlington, VA","5 - 24 hr","Annual","0","0"
"3/1/2011","Washington, DC","<0.5 hr","24-hr Pass","7048","0"
"3/1/2011","Washington, DC","<0.5 hr","Annual","48023","77954"
"3/1/2011","Washington, DC","0.5 - 1 hr","24-hr Pass","2246","0"
"3/1/2011","Washington, DC","0.5 - 1 hr","Annual","1054","0"
"3/1/2011","Washington, DC","1 - 1.5 hr","24-hr Pass","1169","0"
"3/1/2011","Washington, DC","1 - 1.5 hr","Annual","130","0"
"3/1/2011","Washington, DC","1.5 - 2 hr","24-hr Pass","833","0"
"3/1/2011","Washington, DC","1.5 - 2 hr","Annual","46","0"
"3/1/2011","Washington, DC","2 - 3 hr","24-hr Pass","716","0"
"3/1/2011","Washington, DC","2 - 3 hr","Annual","35","0"
"3/1/2011","Washington, DC","3 - 4 hr","24-hr Pass","228","0"
"3/1/2011","Washington, DC","3 - 4 hr","Annual","20","0"
"3/1/2011","Washington, DC","4 - 5 hr","24-hr Pass","65","0"
"3/1/2011","Washington, DC","4 - 5 hr","Annual","7","0"
"3/1/2011","Washington, DC","5 - 24 hr","24-hr Pass","78","0"
"3/1/2011","Washington, DC","5 - 24 hr","Annual","34","0"
"4/1/2011","Arlington, VA","<0.5 hr","24-hr Pass","515","0"
"4/1/2011","Arlington, VA","<0.5 hr","Annual","3047","4102"
"4/1/2011","Arlington, VA","0.5 - 1 hr","24-hr Pass","294","0"
"4/1/2011","Arlington, VA","0.5 - 1 hr","Annual","160","0"
"4/1/2011","Arlington, VA","1 - 1.5 hr","24-hr Pass","184","0"
"4/1/2011","Arlington, VA","1 - 1.5 hr","Annual","14","0"
"4/1/2011","Arlington, VA","1.5 - 2 hr","24-hr Pass","114","0"
"4/1/2011","Arlington, VA","1.5 - 2 hr","Annual","5","0"
"4/1/2011","Arlington, VA","2 - 3 hr","24-hr Pass","63","0"
"4/1/2011","Arlington, VA","2 - 3 hr","Annual","0","0"
"4/1/2011","Arlington, VA","3 - 4 hr","24-hr Pass","40","0"
"4/1/2011","Arlington, VA","3 - 4 hr","Annual","0","0"
"4/1/2011","Arlington, VA","4 - 5 hr","24-hr Pass","17","0"
"4/1/2011","Arlington, VA","4 - 5 hr","Annual","0","0"
"4/1/2011","Arlington, VA","5 - 24 hr","24-hr Pass","10","0"
"4/1/2011","Arlington, VA","5 - 24 hr","Annual","1","0"
"4/1/2011","Washington, DC","<0.5 hr","24-hr Pass","11289","0"
"4/1/2011","Washington, DC","<0.5 hr","Annual","66520","103325"
"4/1/2011","Washington, DC","0.5 - 1 hr","24-hr Pass","4063","0"
"4/1/2011","Washington, DC","0.5 - 1 hr","Annual","2236","0"
"4/1/2011","Washington, DC","1 - 1.5 hr","24-hr Pass","2148","0"
"4/1/2011","Washington, DC","1 - 1.5 hr","Annual","231","0"
"4/1/2011","Washington, DC","1.5 - 2 hr","24-hr Pass","1424","0"
"4/1/2011","Washington, DC","1.5 - 2 hr","Annual","113","0"
"4/1/2011","Washington, DC","2 - 3 hr","24-hr Pass","1350","0"
"4/1/2011","Washington, DC","2 - 3 hr","Annual","68","0"
"4/1/2011","Washington, DC","3 - 4 hr","24-hr Pass","445","0"
"4/1/2011","Washington, DC","3 - 4 hr","Annual","28","0"
"4/1/2011","Washington, DC","4 - 5 hr","24-hr Pass","173","0"
"4/1/2011","Washington, DC","4 - 5 hr","Annual","10","0"
"4/1/2011","Washington, DC","5 - 24 hr","24-hr Pass","217","0"
"4/1/2011","Washington, DC","5 - 24 hr","Annual","91","0"
"5/1/2011","Arlington, VA","<0.5 hr","Annual","4844","7493"
"5/1/2011","Arlington, VA","0.5 - 1 hr","Annual","23","0"
"5/1/2011","Arlington, VA","1 - 1.5 hr","Annual","11","0"
"5/1/2011","Arlington, VA","2 - 3 hr","Annual","292","0"
"5/1/2011","Arlington, VA","3 - 4 hr","30 Day","55","0"
"5/1/2011","Arlington, VA","3 - 4 hr","Annual","3","0"
"5/1/2011","Arlington, VA","4 - 5 hr","30 Day","14","0"
"5/1/2011","Arlington, VA","4 - 5 hr","Annual","1","0"
"5/1/2011","Arlington, VA","5 - 24 hr","30 Day","31","0"
"5/1/2011","Arlington, VA","5 - 24 hr","Annual","12","0"
"5/1/2011","Washington, DC","<0.5 hr","30 Day","16798","0"
"5/1/2011","Washington, DC","<0.5 hr","Annual","94885","153706"
"5/1/2011","Washington, DC","0.5 - 1 hr","30 Day","2682","0"
"5/1/2011","Washington, DC","0.5 - 1 hr","Annual","424","0"
"5/1/2011","Washington, DC","1 - 1.5 hr","30 Day","1662","0"
"5/1/2011","Washington, DC","1 - 1.5 hr","Annual","168","0"
"5/1/2011","Washington, DC","1.5 - 2 hr","30 Day","1518","0"
"5/1/2011","Washington, DC","1.5 - 2 hr","Annual","129","0"
"5/1/2011","Washington, DC","2 - 3 hr","30 Day","5383","0"
"5/1/2011","Washington, DC","2 - 3 hr","Annual","3681","0"
"5/1/2011","Washington, DC","3 - 4 hr","30 Day","481","0"
"5/1/2011","Washington, DC","3 - 4 hr","Annual","55","0"
"5/1/2011","Washington, DC","4 - 5 hr","30 Day","212","0"
"5/1/2011","Washington, DC","4 - 5 hr","Annual","23","0"
"5/1/2011","Washington, DC","5 - 24 hr","30 Day","334","0"
"5/1/2011","Washington, DC","5 - 24 hr","Annual","213","0"
"6/1/2011","Arlington, VA","<0.5 hr","30 Day","972","0"
"6/1/2011","Arlington, VA","<0.5 hr","Annual","5374","8182"
"6/1/2011","Arlington, VA","0.5 - 1 hr","30 Day","435","0"
"6/1/2011","Arlington, VA","0.5 - 1 hr","Annual","260","0"
"6/1/2011","Arlington, VA","1 - 1.5 hr","30 Day","274","0"
"6/1/2011","Arlington, VA","1 - 1.5 hr","Annual","37","0"
"6/1/2011","Arlington, VA","1.5 - 2 hr","30 Day","149","0"
"6/1/2011","Arlington, VA","1.5 - 2 hr","Annual","6","0"
"6/1/2011","Arlington, VA","2 - 3 hr","30 Day","135","0"
"6/1/2011","Arlington, VA","2 - 3 hr","Annual","7","0"
"6/1/2011","Arlington, VA","3 - 4 hr","30 Day","28","0"
"6/1/2011","Arlington, VA","3 - 4 hr","Annual","6","0"
"6/1/2011","Arlington, VA","4 - 5 hr","30 Day","15","0"
"6/1/2011","Arlington, VA","4 - 5 hr","Annual","2","0"
"6/1/2011","Arlington, VA","5 - 24 hr","30 Day","28","0"
"6/1/2011","Arlington, VA","5 - 24 hr","Annual","5","0"
"6/1/2011","Washington, DC","<0.5 hr","30 Day","18171","0"
"6/1/2011","Washington, DC","<0.5 hr","Annual","103171","157071"
"6/1/2011","Washington, DC","0.5 - 1 hr","30 Day","4695","0"
"6/1/2011","Washington, DC","0.5 - 1 hr","Annual","3139","0"
"6/1/2011","Washington, DC","1 - 1.5 hr","30 Day","2194","0"
"6/1/2011","Washington, DC","1 - 1.5 hr","Annual","398","0"
"6/1/2011","Washington, DC","1.5 - 2 hr","30 Day","1435","0"
"6/1/2011","Washington, DC","1.5 - 2 hr","Annual","154","0"
"6/1/2011","Washington, DC","2 - 3 hr","30 Day","1280","0"
"6/1/2011","Washington, DC","2 - 3 hr","Annual","113","0"
"6/1/2011","Washington, DC","3 - 4 hr","30 Day","363","0"
"6/1/2011","Washington, DC","3 - 4 hr","Annual","56","0"
"6/1/2011","Washington, DC","4 - 5 hr","30 Day","139","0"
"6/1/2011","Washington, DC","4 - 5 hr","Annual","21","0"
"6/1/2011","Washington, DC","5 - 24 hr","30 Day","298","0"
"6/1/2011","Washington, DC","5 - 24 hr","Annual","151","0"
"7/1/2011","Arlington, VA","<0.5 hr","24-hr Pass","1027","0"
"7/1/2011","Arlington, VA","<0.5 hr","Annual","4855","6937"
"7/1/2011","Arlington, VA","0.5 - 1 hr","24-hr Pass","412","0"
"7/1/2011","Arlington, VA","0.5 - 1 hr","Annual","197","0"
"7/1/2011","Arlington, VA","1 - 1.5 hr","24-hr Pass","269","0"
"7/1/2011","Arlington, VA","1 - 1.5 hr","Annual","24","0"
"7/1/2011","Arlington, VA","1.5 - 2 hr","24-hr Pass","179","0"
"7/1/2011","Arlington, VA","1.5 - 2 hr","Annual","11","0"
"7/1/2011","Arlington, VA","2 - 3 hr","24-hr Pass","157","0"
"7/1/2011","Arlington, VA","2 - 3 hr","Annual","5","0"
"7/1/2011","Arlington, VA","3 - 4 hr","24-hr Pass","57","0"
"7/1/2011","Arlington, VA","3 - 4 hr","Annual","4","0"
"7/1/2011","Arlington, VA","4 - 5 hr","24-hr Pass","239","0"
"7/1/2011","Arlington, VA","4 - 5 hr","Annual","1","0"
"7/1/2011","Arlington, VA","5 - 24 hr","24-hr Pass","21","0"
"7/1/2011","Arlington, VA","5 - 24 hr","Annual","6","0"
"7/1/2011","Washington, DC","<0.5 hr","24-hr Pass","21100","0"
"7/1/2011","Washington, DC","<0.5 hr","Annual","96500","149680"
"7/1/2011","Washington, DC","0.5 - 1 hr","24-hr Pass","5658","0"
"7/1/2011","Washington, DC","0.5 - 1 hr","Annual","2510","0"
"7/1/2011","Washington, DC","1 - 1.5 hr","24-hr Pass","2880","0"
"7/1/2011","Washington, DC","1 - 1.5 hr","Annual","363","0"
"7/1/2011","Washington, DC","1.5 - 2 hr","24-hr Pass","1804","0"
"7/1/2011","Washington, DC","1.5 - 2 hr","Annual","149","0"
"7/1/2011","Washington, DC","2 - 3 hr","24-hr Pass","1728","0"
"7/1/2011","Washington, DC","2 - 3 hr","Annual","99","0"
"7/1/2011","Washington, DC","3 - 4 hr","24-hr Pass","562","0"
"7/1/2011","Washington, DC","3 - 4 hr","Annual","49","0"
"7/1/2011","Washington, DC","4 - 5 hr","5-day Pass","239","0"
"7/1/2011","Washington, DC","4 - 5 hr","Annual","22","0"
"7/1/2011","Washington, DC","5 - 24 hr","24-hr Pass","327","0"
"7/1/2011","Washington, DC","5 - 24 hr","Annual","94","0"
"8/1/2011","Arlington, VA","<0.5 hr","24-hr Pass","871","0"
"8/1/2011","Arlington, VA","<0.5 hr","Annual","5564","7819"
"8/1/2011","Arlington, VA","0.5 - 1 hr","24-hr Pass","364","0"
"8/1/2011","Arlington, VA","0.5 - 1 hr","Annual","262","0"
"8/1/2011","Arlington, VA","1 - 1.5 hr","24-hr Pass","190","0"
"8/1/2011","Arlington, VA","1 - 1.5 hr","Annual","31","0"
"8/1/2011","Arlington, VA","2 - 3 hr","24-hr Pass","118","0"
"8/1/2011","Arlington, VA","2 - 3 hr","Annual","5","0"
"8/1/2011","Arlington, VA","3 - 4 hr","24-hr Pass","26","0"
"8/1/2011","Arlington, VA","3 - 4 hr","Annual","2","0"
"8/1/2011","Arlington, VA","4 - 5 hr","24-hr Pass","9","0"
"8/1/2011","Arlington, VA","4 - 5 hr","Annual","0","0"
"8/1/2011","Arlington, VA","5 - 24 hr","24-hr Pass","2","0"
"8/1/2011","Arlington, VA","5 - 24 hr","Annual","1","0"
"8/1/2011","Washington, DC","<0.5 hr","24-hr Pass","16741","0"
"8/1/2011","Washington, DC","<0.5 hr","Annual","101983","147984"
"8/1/2011","Washington, DC","0.5 - 1 hr","24-hr Pass","4673","0"
"8/1/2011","Washington, DC","0.5 - 1 hr","Annual","2541","0"
"8/1/2011","Washington, DC","1 - 1.5 hr","24-hr Pass","2297","0"
"8/1/2011","Washington, DC","1 - 1.5 hr","Annual","342","0"
"8/1/2011","Washington, DC","1.5 - 2 hr","24-hr Pass","1287","0"
"8/1/2011","Washington, DC","1.5 - 2 hr","Annual","145","0"
"8/1/2011","Washington, DC","2 - 3 hr","24-hr Pass","1248","0"
"8/1/2011","Washington, DC","2 - 3 hr","Annual","102","0"
"8/1/2011","Washington, DC","3 - 4 hr","24-hr Pass","432","0"
"8/1/2011","Washington, DC","3 - 4 hr","Annual","29","0"
"8/1/2011","Washington, DC","4 - 5 hr","24-hr Pass","228","0"
"8/1/2011","Washington, DC","4 - 5 hr","Annual","22","0"
"8/1/2011","Washington, DC","5 - 24 hr","24-hr Pass","215","0"
"8/1/2011","Washington, DC","5 - 24 hr","Annual","80","0"
"9/1/2011","Arlington, VA","<0.5 hr","24-hr Pass","706","0"
"9/1/2011","Arlington, VA","<0.5 hr","Annual","4523","6291"
"9/1/2011","Arlington, VA","0.5 - 1 hr","24-hr Pass","299","0"
"9/1/2011","Arlington, VA","0.5 - 1 hr","Annual","207","0"
"9/1/2011","Arlington, VA","1 - 1.5 hr","24-hr Pass","180","0"
"9/1/2011","Arlington, VA","1 - 1.5 hr","Annual","30","0"
"9/1/2011","Arlington, VA","1.5 - 2 hr","24-hr Pass","91","0"
"9/1/2011","Arlington, VA","1.5 - 2 hr","Annual","4","0"
"9/1/2011","Arlington, VA","2 - 3 hr","24-hr Pass","84","0"
"9/1/2011","Arlington, VA","2 - 3 hr","Annual","2","0"
"9/1/2011","Arlington, VA","3 - 4 hr","24-hr Pass","41","0"
"9/1/2011","Arlington, VA","3 - 4 hr","Annual","1","0"
"9/1/2011","Arlington, VA","4 - 5 hr","24-hr Pass","21","0"
